Word,Part_of_Speech,Audio,Photos
billete,noun,billete.ogg,drink-ticket.png
llanta,noun,llanta.ogg,tire-wheel-car.png
dedo (de pierna),noun,dedo.ogg,pedicure-toes-foot.png
tomate,noun,tomate.ogg,tomato.png
lengua,noun,lengua.ogg,mouth-open-female-tongue.png
herramienta,noun,herramienta.ogg,tools-spanners-hammers.png
diente,noun,diente.ogg,dental-care-dental-mascot.png
pueblo,noun,pueblo.ogg,old-town.jpg
tren,noun,tren.ogg,railway-bernina-train.jpg
estación de trenes,noun,estacion-de-trenes.ogg,train station.jpg
arbol,noun,arbol.ogg,tree.png
camión,noun,camion.ogg,truck-box-car.png
universidad,noun,universidad.ogg,"university-of-toronto.jpg, university-lecture-hall.jpg, graduation-cap-hat.png"
valle,noun,valle.ogg,vietnam-mountains-valley.jpg
víctima,noun,victima.ogg,accident-victim.png
voz,noun,voz.ogg,speech-icon-voice.png
mesero,noun,mesero.ogg,cartoon-character-waiter.jpg
muralla,noun,muralla.ogg,"brick-wall.jpg, great-wall-chinese.jpg"
palabra,noun,palabra.ogg,"learn-word.jpg, dream-word-letters.jpg"
guerra,noun,guerra.ogg,"vickers-machine-gun-passchendaele.jpg, Korean-War-bombing-Wonsan.jpg"
agua,noun,agua.ogg,"faucet-fountain-water.jpg, clean-drop-of-water.jpg"
ola,noun,ola.ogg,wave-water-surf-ocean.jpg
boda,noun,boda.ogg,wedding-couple-wedding-party.jpg
semana,noun,semana.ogg,days-week.jpg
peso,noun,peso.ogg,weight-kg.png
oeste,noun,oeste.ogg,"compass-gold.png, arrow-left-west.svg"
esposa,noun,esposa.ogg,family-love-wife.jpg
viento,noun,viento.ogg,"air-bag-wind-sock.jpg, wind-power-energy.jpg"
ventana,noun,ventana.ogg,window-wooden.png
vino,noun,vino.ogg,red-wine.jpg
ala,noun,ala.ogg,"wing-angel.png, gray-plane-wing.jpg"
invierno,noun,invierno.ogg,"snow-woman-winter.jpg, season-winter-spring-summer-fall.png"
mujer,noun,mujer.ogg,"woman-wearing-pink.jpg, woman-in-black-scoop-neck-shirt.jpg"
madera,noun,madera.ogg,wood-board-batten.png
mundo,noun,mundo.ogg,map-of-the-world.jpg
jardín,noun,jardin.ogg,garden-summer-front-yard.jpg
año,noun,anxo.ogg,new-year-clip-art.jpg
vegetal,noun,vegetal.ogg,vegetable-basket.jpg
fruta,noun,fruta.ogg,fruit-bowl.jpg
primero,ordinal number,primero.ogg,first.png
segundo,ordinal number,segundo.ogg,second-ordinal.png
tercero,ordinal number,tercero.ogg,third.png
frutilla,noun,frutilla.ogg,strawberry.jpg
ir,verb ,ir.ogg,"woman-away-nature-forest.jpg, this-way-confuse-where-to-go.png"
firmar,verb ,firmar.ogg,writing-pen-man.jpg
golpear,verb ,golpear.ogg,policeman-riot-police-baton.png
doblar,verb ,doblar.ogg,bend-bent-over-heaving-human.png
quebrar,verb ,quebrar.ogg,"chain-breaking-link.png, broken-heart-love.jpg"
construir,verb ,construir.ogg,construction-workers-craftsmen-build.png
quemar,verb ,quemar.ogg,fire-burning-house-flame.jpg
comprar,verb ,comprar.ogg,"woman-holding-card-while-operating-silver-laptop.jpg, assorted-business-desserts-display.jpg"
llamar,verb ,llamar.ogg,smiling-woman-holding-gold-iphone.jpg
llevar,verb ,llevar.ogg,deliver-men-carrying-boxes-cartoon.png
agarrar,verb ,agarrar.ogg,"football-catch-players.jpg, fisherman-caught-fish-fishing.png"
limpiar,verb ,limpiar.ogg,"bucket-cleaning-rags.jpg, bucket-cleaning-supplies-housework.png"
cerrar,verb ,cerrar.ogg,door-handle-ball.jpg
contar,verb ,contar.ogg,learn-school-nursery-count.jpg
llorar,verb ,llorar.ogg,sad-cry-tear-emotion-mood-face.jpg
