Word,Part_of_Speech,Audio,Photos
sky,noun,,atmosphere-blue-sky-clouds.jpg
female,noun,,bathroom-sign-woman-female.png
male,noun,,bathroom-sign-woman-male.jpg
snow,noun,,cold-snow-white.jpg
soap,noun,,soap-bar.jpg
soil,noun,,field-soil-agriculture.png
soldier,noun,,isolated-soldier.png
son  ,noun,,father-son-hammock-boy.jpg
song,noun,,notes-lyrics-song.png
sound,noun,,"sound-music-audio-icon.png, audio-aural-wave.png"
soup,noun,,soup-carrot-ginger-food.jpg
South,noun,,"compass-gold.png, arrow-directions-downwards-south.svg"
spoon,noun,,spoon-cutlery-metal.jpg
sport,noun,,"silhouette-sports-basketball.png, tennis-icon.png, sport-shooting-football-soccer.png"
spring,noun,,"cherry-tree-flowering-tree-blooming-spring.jpg, season-winter-spring-summer-fall.png"
square,noun,,square-orange.png
stain,noun,,stain-t-shirt.png
star,noun,,star-yellow-symbol.png
stone,noun,,rocks-stone-nature.png
stop,noun,,stop-sign-hand.png
store,noun,,"shopping-supermarket.jpg, store-clothing-shop-bouique.jpg"
street,noun,,architecture-buildings-street.jpg
student,noun,,students-classroom.jpg
sugar,noun,,sugar-spoon.jpg
suit,noun,,business-suit.jpg
summer,noun,,"beach-family-fun-leisure.jpg, season-winter-spring-summer-fall.png, straw-bales-stubble-agriculture.jpg"
sun ,noun,,sun-happy-sunshine.png
sweat,noun,,"sweat-body-fitness.jpg, sweat-sweaty-shirt-back.jpg"
t-shirt,noun,,tshirt-green.png
table,noun,,table-grey-silver-flat.png
tea ,noun,,tea-hot-cup.jpg
teacher,noun,,school-chemistry-uganda-teacher.jpg
team,noun,,"team-basketball.jpg, indian-hockey-team-berlin-1936.jpg"
tear,noun,,tear-drop.jpg
telephone,noun,,phone-dial-old.jpg
television,noun,,television-icon.png
temperature,noun,,thermometer-summer.jpg
theatre,noun,,"metz-france-opera-theatre.jpg, theater-comedy-tragedy-masks.png"
ticket,noun,,drink-ticket.png
tire,noun,,tire-wheel-car.png
toe,noun,,pedicure-toes-foot.png
tomato,noun,,tomato.png
tongue,noun,,mouth-open-female-tongue.png
tool,noun,,tools-spanners-hammers.png
tooth,noun,,dental-care-dental-mascot.png
town,noun,,old-town.jpg
train  ,noun,,railway-bernina-train.jpg
train station,noun,,train station.jpg
tree,noun,,tree.png
truck,noun,,truck-box-car.png
university,noun,,"university-of-toronto.jpg, university-lecture-hall.jpg, graduation-cap-hat.png"
valley,noun,,vietnam-mountains-valley.jpg
victim,noun,,accident-victim.png
voice,noun,,speech-icon-voice.png
waiter,noun,,cartoon-character-waiter.jpg
wall,noun,,"brick-wall.jpg, great-wall-chinese.jpg"
word,noun,,"learn-word.jpg, dream-word-letters.jpg"
war,noun,,"vickers-machine-gun-passchendaele.jpg, Korean-War-bombing-Wonsan.jpg"
water,noun,,"faucet-fountain-water.jpg, clean-drop-of-water.jpg"
wave,noun,,wave-water-surf-ocean.jpg
wedding,noun,,wedding-couple-wedding-party.jpg
week,noun,,days-week.jpg
weight,noun,,weight-kg.png
West,noun,,"compass-gold.png, arrow-left-west.svg"
wife,noun,,family-love-wife.jpg
wind,noun,,"air-bag-wind-sock.jpg, wind-power-energy.jpg"
window,noun,,window-wooden.png
wine,noun,,red-wine.jpg
wing,noun,,"wing-angel.png, gray-plane-wing.jpg"
winter,noun,,"snow-woman-winter.jpg, season-winter-spring-summer-fall.png"
woman,noun,,"woman-wearing-pink.jpg, woman-in-black-scoop-neck-shirt.jpg"
wood,noun,,wood-board-batten.png
world,noun,,map-of-the-world.jpg
yard,noun,,garden-summer-front-yard.jpg
year,noun,,new-year-clip-art.jpg
first,ordinal number,,first.png
second,ordinal number,,second-ordinal.png
third,ordinal number,,third.png
to go,verb,,"woman-away-nature-forest.jpg, this-way-confuse-where-to-go.png"
to sign,verb,,writing-pen-man.jpg
to beat,verb,,policeman-riot-police-baton.png
to bend,verb,,bend-bent-over-heaving-human.png
to break,verb,,"chain-breaking-link.png, broken-heart-love.jpg"
